"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"28","ja",1,30,"ja",1.10052084922791,3.97701692581177,7.51978445053101,"ja",142.489361702128,109.127659574468,109.127659574468,"-1",89301621,"fi","none",1896017,14.455,2,5.80749368667603,16.3885679244995,1261,91,5,11,5.42816352844238,6.59640836715698,7.65839290618896,8.12191963195801,1,1
"29","loppua",1,31,"loppua,",7.63413596153259,6.63805770874023,8.20931720733643,"loppua,",390.36170212766,170.574468085106,156,"-1",89301621,"fi","none",719,6.578,6,1.10052084922791,5.80749368667603,1896017,1261,2,5,3.97701692581177,5.42816352844238,7.51978445053101,7.65839290618896,1,1
"30","ja",1,32,"ja",1.04733920097351,3.41828012466431,6.98692941665649,"ja",39.2127659574468,31.468085106383,31.468085106383,"-1",89301621,"fi","none",1896017,14.455,2,7.63413596153259,1.10052084922791,719,1896017,6,2,6.63805770874023,3.97701692581177,8.20931720733643,7.51978445053101,1,1
"31","sen",1,33,"sen",4.51162815093994,5.56043195724487,7.95205736160278,"sen",155.893617021277,138.31914893617,138.31914893617,"-1",89301621,"fi","none",119220,11.689,3,1.04733920097351,7.63413596153259,1896017,719,2,6,3.41828012466431,6.63805770874023,6.98692941665649,8.20931720733643,1,1
"32","myötä",1,34,"myötä",4.55017328262329,5.64286327362061,7.927001953125,"myötä",292.36170212766,225.425531914894,210.404255319149,"-1",89301621,"fi","none",10325,9.242,5,4.51162815093994,1.04733920097351,119220,1896017,3,2,5.56043195724487,3.41828012466431,7.95205736160278,6.98692941665649,1,1
"33","sotaa",1,35,"sotaa",12.3904256820679,4.12818622589111,7.45118618011475,"sotaa",294.978723404255,248.468085106383,230.489361702128,"-1",89301621,"fi","none",1723,7.452,5,4.55017328262329,4.51162815093994,10325,119220,5,3,5.64286327362061,5.56043195724487,7.927001953125,7.95205736160278,1,1
"34","ja",1,36,"ja",2.72622418403625,5.34722709655762,7.85019826889038,"ja",94.936170212766,94.936170212766,94.936170212766,"-1",89301621,"fi","none",1896017,14.455,2,12.3904256820679,4.55017328262329,1723,10325,5,5,4.12818622589111,5.64286327362061,7.45118618011475,7.927001953125,1,1
"35","rauhaa",1,37,"rauhaa.",6.58176755905151,5.79361629486084,7.77017498016357,"rauhaa.",406.382978723404,299.042553191489,253.468085106383,"-1",89301621,"fi","none",458,6.127,6,2.72622418403625,12.3904256820679,1896017,1723,2,5,5.34722709655762,4.12818622589111,7.85019826889038,7.45118618011475,1,1
"36","Sotien",1,38,"Sotien",10.5652990341187,3.48098707199097,6.85285568237305,"Sotien",397.936170212766,260.702127659574,209.63829787234,"-1",89301621,"fi","none",770,6.646,6,6.58176755905151,2.72622418403625,458,1896017,6,2,5.79361629486084,5.34722709655762,7.77017498016357,7.85019826889038,1,1
"37","aikana",1,39,"aikana",1.87785184383392,4.89627504348755,7.4635124206543,"aikana",373.127659574468,237.042553191489,211.276595744681,"-1",89301621,"fi","none",52360,10.866,6,10.5652990341187,6.58176755905151,770,458,6,6,3.48098707199097,5.79361629486084,6.85285568237305,7.77017498016357,1,1
"38","hänen",1,40,"hänen",4.32748413085938,1.83270001411438,6.56580018997192,"hänen",265.127659574468,172.340425531915,162.851063829787,"-1",89301621,"fi","none",90836,11.417,5,1.87785184383392,10.5652990341187,52360,770,6,6,4.89627504348755,3.48098707199097,7.4635124206543,6.85285568237305,1,1
"39","temppelinsä",1,41,"temppelinsä",7.75354817509651,5.99403095245361,7.85886573791504,"temppelinsä",515.957446808511,275.808510638298,210.255319148936,"-1",89301621,"fi","none",10,2.303,11,4.32748413085938,1.87785184383392,90836,52360,5,6,1.83270001411438,4.89627504348755,6.56580018997192,7.4635124206543,1,1
"40","ovet",1,42,"ovet",9.84856507182121,3.96715378761292,7.03482484817505,"ovet",175.340425531915,120.042553191489,120.042553191489,"-1",89301621,"fi","none",360,5.886,4,7.75354817509651,4.32748413085938,10,90836,11,5,5.99403095245361,1.83270001411438,7.85886573791504,6.56580018997192,1,1
"41","olivat",1,43,"olivat",1.89335298538208,4.6686224937439,7.10560131072998,"olivat",551.808510638298,348.872340425532,241.553191489362,"-1",89301621,"fi","none",80848,11.3,6,9.84856507182121,7.75354817509651,360,10,4,11,3.96715378761292,5.99403095245361,7.03482484817505,7.85886573791504,1,1
"42","auki",1,44,"auki",2.53193640708923,6.28136920928955,8.16438293457031,"auki",230.957446808511,162.127659574468,162.127659574468,"-1",89301621,"fi","none",792,6.675,4,1.89335298538208,9.84856507182121,80848,360,6,4,4.6686224937439,3.96715378761292,7.10560131072998,7.03482484817505,1,1
"43","ja",1,45,"ja",1.15141034126282,2.33777189254761,6.62540435791016,"ja",100.617021276596,85.9574468085106,82.1276595744681,"-1",89301621,"fi","none",1896017,14.455,2,2.53193640708923,1.89335298538208,792,80848,4,6,6.28136920928955,4.6686224937439,8.16438293457031,7.10560131072998,1,1
"44","rauhan",1,46,"rauhan",8.0600004196167,6.42640018463135,8.37219524383545,"rauhan",409.659574468085,291.042553191489,258.893617021277,"-1",89301621,"fi","none",2045,7.623,6,1.15141034126282,2.53193640708923,1896017,792,2,4,2.33777189254761,6.28136920928955,6.62540435791016,8.16438293457031,1,1
